S.N,Company Name,Website,LinkedIn
43,Logictronix,https://logictronix.com/,https://www.linkedin.com/company/logictronix/
44,Mpercept Technology,https://mpercept.com/,https://www.linkedin.com/company/mpercept-technology/
45,Naamche,https://www.naamche.com/,https://www.linkedin.com/company/naamche/
46,NAAMII,https://www.naamii.org.np/,https://www.linkedin.com/company/naamiinepal/
47,NEPA Works,https://www.nepa.works/,https://www.linkedin.com/company/nepa-works/
48,Neuron Labs Nepal,https://neuronlabs.com.np/,https://www.linkedin.com/company/neuron-labs-nepal/
49,NextWaveAI,https://nxtwaveai.com/,https://www.linkedin.com/company/nxt-wave-ai/
50,Nexus Analytics Nepal,https://nexusanalyticsnepal.com/,https://www.linkedin.com/company/nexus-analytics-nepal/
51,Nimble Clinical Research,https://nimble-cr.com/,https://www.linkedin.com/company/nimble-cr/
52,Niural Nepal,https://www.niural.com/,https://www.linkedin.com/showcase/niural-nepal/
53,NSDevil,https://www.nsdevil.com/,https://www.linkedin.com/company/nsdevil/
54,Paaila Technology,https://paailatechnology.com/,https://www.linkedin.com/company/paaila-technology/
55,Palm Mind Technology,https://palmmind.com/,https://www.linkedin.com/company/palm-mind-technology/
56,Prism AI Solutions,https://prismaisolutions.com/,https://www.linkedin.com/company/prism-ai-solutions/
57,Prixa Technologies,http://prixa.org,https://www.linkedin.com/company/prixatechnologies/
58,Quantum Minds AI,https://quantummindsai.com/,https://www.linkedin.com/company/quantum-minds-ai/
59,Quickfox Technologies,https://www.quickfoxtechnologies.com/,https://www.linkedin.com/company/quickfoxtech/
60,Rippey AI,https://rippey.ai/,https://www.linkedin.com/company/rippey/
61,Root Level AI,https://therootlevel.com,https://www.linkedin.com/company/root-level-pvt-ltd/
62,SecurityPal AI,https://www.securitypalhq.com/,https://www.linkedin.com/company/securitypalhq/
63,Smart Data Solutions,https://sdata.us/,https://www.linkedin.com/company/smart-data-solutions/life/smartlife/
64,Subiz Innovations,https://subizinnovations.com.np/,
65,SynergyAI Labs,https://synergyailabs.com/,https://www.linkedin.com/company/synergy-ai-labs/
66,Tekkon Technologies Nepal,https://tekkon.com.np/,https://www.linkedin.com/company/tekkontech/
67,Tesseract Intelligence,https://tesseractintelligence.com/,https://www.linkedin.com/company/tesseract-intelligence/
68,Third Factor AI,https://thirdfactor.ai,https://www.linkedin.com/company/thirdfactor-ai/
69,TIA Inc,https://www.tiainc.com/,https://www.linkedin.com/company/taigroup/
70,Treeleaf Technologies,https://treeleaf.ai/,https://www.linkedin.com/company/treeleafai/
71,Vertex Special Technology,https://vertexspecial.com/,https://www.linkedin.com/company/vertex-special-technologies/
72,Wiseyak,https://wiseyak.com/,https://www.linkedin.com/company/wiseyakinc/
73,Ycotek,https://ycotek.com/,https://www.linkedin.com/company/ycotek/
74,Zenith Data Architects,https://zeniths.com/,https://www.linkedin.com/company/zenith-data-architects/
75,Verisk,https://www.verisk.com/,https://www.linkedin.com/company/verisk-analytics/
